Event	ID	Name			Wwise Object Path	Notes
	2877874455	RevMovement			\Default Work Unit\Movement\RevMovement	
	3542290436	PlayerFootstep			\Default Work Unit\Movement\PlayerFootstep	
	4268612329	SphereMovement			\Default Work Unit\Movement\SphereMovement	

Switch Group	ID	Name			Wwise Object Path	Notes
	1158357337	FootfallMaterial			\Default Work Unit\FootfallMaterial	

Switch	ID	Name	Switch Group			Notes
	2195636714	Dirt	FootfallMaterial			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1556791747	CharacterSpeed			\Default Work Unit\CharacterMovement\CharacterSpeed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	46381001	RevAlienMovement8	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement8_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement8		176464
	60486319	SinSciFiMovement9	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement9_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement9		176464
	69875495	RevAlienMovement10	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement10_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement10		176464
	73735961	HumanFootstep1	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep1		113072
	75413048	HumanFootstep3	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep3		132364
	104596437	RevAlienMovement4	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement4		176464
	218739898	SinSciFiMovement4	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement4		176464
	221543500	RevAlienMovement12	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement12_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement12		176464
	280143144	SinSciFiMovement5	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement5_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement5		176464
	281773049	HumanFootstep10	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep10_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep10		187492
	297001954	RevAlienMovement11	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement11_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement11		176464
	336502257	HumanFootstep6	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep6_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep6		220564
